"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"2015-09";23,41402;22,34931;23,19931;23,35814;24,19803;23,73883;21,75609;22,77286;21,55248;20,75045
"2015-10";21,31944;20,29344;20,76523;21,2548;21,80489;22,84353;20,70056;21,94809;21,04697;20,73799
"2015-11";22,42119;20,27597;20,71623;20,79725;22,87036;22,39663;21,56322;21,8455;21,79685;22,10581
"2015-12";25,36988;23,33808;23,58286;25,32329;26,29414;25,73109;23,63732;24,12746;24,32235;24,4165
"2016-01";23,37922;21,4595;21,69551;22,83749;23,3136;23,38341;21,76472;22,85762;22,06019;22,13731
"2016-02";26,23789;24,28233;24,61287;25,89471;26,40495;26,54649;24,90954;25,63815;24,84481;25,0043
"2016-03";23,17748;22,15829;21,32512;22,81135;23,46499;23,74078;22,80766;24,04072;24,30634;24,61192
"2016-04";24,53634;23,40655;23,2262;24,83581;25,20283;25,00616;23,43175;23,9516;23,54209;23,60493
"2016-05";19,96126;19,47375;19,41521;19,31339;20,237;19,90743;18,95506;19,26554;19,00376;19,15697
"2016-06";17,43932;17,23586;16,48587;17,15925;17,32124;16,981;16,64711;16,39521;16,08433;16,2888
"2016-07";19,91716;19,83852;19,59597;19,75013;19,88006;19,89001;19,36272;19,25894;18,78625;18,49815
"2016-08";19,80805;19,24425;18,88212;19,36413;19,9016;19,45329;18,70114;18,72986;18,27051;18,01157
"2016-09";21,6368;20,65416;20,63172;21,16352;22,19312;21,38105;20,71979;21,26517;20,40982;20,68997
"2016-10";22,39904;20,96108;20,8784;22,14123;22,92722;22,70228;20,84001;21,29664;21,06152;20,87085
