"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"2014-08";28,24202;24,12557;24,86372;28,27581;29,18134;30,11894;25,22037;27,92721;26,63124;26,97354
"2014-09";31,79078;26,3791;27,49728;32,37458;33,46255;34,55725;28,45884;31,92836;30,50441;30,28053
"2014-10";32,23435;27,21099;28,68086;34,12478;34,97803;36,58918;29,69442;34,16882;33,8209;33,55949
"2014-11";34,23787;28,9675;29,97425;35,35256;37,32251;38,46611;31,63761;35,314;35,00217;35,06676
"2014-12";34,39711;30,57621;30,99804;35,79421;35,00953;38,45405;32,77736;35,01381;35,63295;35,76386
"2015-01";38,59661;33,56927;34,02598;39,59935;40,95469;42,52615;35,69522;38,89315;38,22744;37,79807
"2015-02";35,9306;29,76021;29,76102;34,42463;36,39799;37,30492;30,67305;32,64756;32,02198;32,42439
"2015-03";30,75455;26,43873;27,00229;30,56932;32,23378;32,74369;27,93525;29,30141;28,74299;28,55793
"2015-04";29,49907;24,7975;25,24411;28,9118;29,81625;30,21514;25,71159;27,27243;26,71849;27,45055
"2015-05";26,59911;22,95857;23,66824;27,28239;27,25532;28,25367;24,1546;25,51235;25,05757;25,88472
"2015-06";26,57771;23,78157;24,39729;25,98363;27,79672;28,11903;25,14867;27,09718;26,20202;25,96163
"2015-07";26,62709;23,71533;24,20358;26,1797;27,3859;27,94962;24,39751;26,32842;25,28805;25,75578
"2015-08";29,02812;24,14214;25,55029;29,47627;30,64553;31,51382;26,34599;29,46858;28,76369;29,40911
"2015-09";33,84164;27,66364;29,93188;34,2344;35,84151;36,98072;30,61071;33,90255;32,17302;33,0019
"2015-10";34,93958;27,63489;30,57305;34,60544;37,09758;38,38733;31,22267;34,804;33,58948;34,50388
"2015-11";26,99078;26,16388;27,05378;30,177;32,72952;36,24844;28,64034;30,89883;29,74105;29,11106
"2015-12";35,19013;31,3792;30,71451;35,88936;35,01961;36,0684;33,48204;35,20229;34,94251;34,8017
"2016-01";37,01699;28,7323;29,9;36,54307;38,8075;40,60696;30,64945;35,15258;33,13387;32,91981
"2016-02";34,44811;29,82995;29,72901;35,74691;36,26072;38,63765;31,55448;34,04433;33,26413;33,83874
"2016-03";33,23375;27,46977;28,10417;32,28741;33,65291;34,39401;28,56482;29,93561;30,34007;31,24763
"2016-04";32,18374;27,43359;28,09684;32,81617;33,41247;34,51605;29,43886;31,49576;31,28951;31,99061
"2016-05";25,12988;20,7842;21,47065;26,3965;27,18271;28,472;23,35178;25,78678;25,49131;26,0513
"2016-06";23,37239;19,61721;20,24488;23,42866;24,02317;24,17657;21,24703;22,18406;22,51118;23,07218
"2016-07";26,89148;23,54257;24,57692;27,41736;28,54009;29,26133;25,45759;27,30065;26,61775;27,19116
"2016-08";28,37246;23,72336;24,80185;28,92347;30,12511;31,00537;25,80054;28,80148;27,83167;27,90936
"2016-09";31,50867;25,84228;26,95406;32,00243;32,988;34,07872;27,73534;31,20854;30,45974;30,6765
"2016-10";30,4662;25,22726;26,05588;31,37672;31,91909;33,53794;27,27759;31,10002;30,61401;32,50502
