"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"1998-01";288,9503;286,1616;293,0608;190,8811;228,4823;200,3476;233,326;224,4976;200,7786;194,4753
"1998-02";306,7778;277,2729;373,7389;256,1626;328,3939;290,7802;339,6679;332,4438;268,6883;225,4194
"1998-03";168,0188;151,0435;178,6025;138,6238;159,5503;151,9382;208,7524;226,2628;217,6793;168,7212
"1998-04";123,2981;96,94364;141,0835;82,54005;111,8755;92,04588;122,1209;117,3501;101,9656;82,13557
"1998-05";185,5822;124,378;187,3416;121,7778;152,4681;114,247;149,7374;118,0045;124,7039;88,50735
"1998-06";57,89894;41,52168;75,47823;33,67069;59,55436;35,50817;44,58561;37,65634;33,7236;29,74487
"1998-07";66,52589;46,28288;65,72791;31,38116;48,99183;34,55416;49,28774;45,07292;41,44928;33,25402
"1998-08";85,15591;53,8886;85,90387;48,97286;66,9334;45,26457;60,02495;56,46613;52,23741;55,23342
"1998-09";109,2151;89,38602;121,0952;74,2775;84,54784;85,46774;112,2485;87,72047;120,9375;136,0781
"1998-10";268,5155;226,1488;256,8937;180,1861;220,2753;196,6302;252,062;228,8744;249,8579;235,7024
"1998-11";181,841;180,7135;183,6525;103,3388;151,9842;118,8415;173,6834;164,3525;169,7344;148,2338
"1998-12";210,4565;216,7363;236,0772;145,0464;185,9786;162,4423;201,3744;181,8271;177,384;170,9442
"1999-01";197,8063;188,5904;197,7885;150,7412;165,3565;166,0651;184,056;208,007;173,649;166,6846
"1999-02";123,2862;112,2569;136,8484;109,3116;109,212;119,1767;150,9584;167,0555;171,6847;165,7484
"1999-03";287,9439;242,6384;272,1111;194,2986;232,4846;174,3402;217,2583;214,5136;172,3975;144,5602
"1999-04";103,2999;81,40351;98,80134;59,99043;72,48219;54,14987;77,71949;72,03983;89,49834;89,57083
"1999-05";81,59525;54,10188;80,60587;50,63149;65,37814;51,75956;71,70021;65,63934;74,92076;69,31519
"1999-06";97,68974;63,2832;101,7414;45,52789;80,19743;63,75092;91,50986;84,07996;118,6941;118,125
"1999-07";50,54721;35,30575;49,23137;23,67587;36,10167;26,01199;45,1232;39,92605;50,14542;49,771
"1999-08";98,63088;61,04586;97,92837;50,49539;83,87614;45,41864;56,38022;49,61219;44,05994;38,88363
